Intensity,X,Z,ImageIndex
2556.8264,50.07885,74.76223,4
1893.2188,5.9881239,76.201927,4
1868.8805,11.50582,76.761971,4
2270.6812,7.4894409,80.19117,4
1825.0259,36.074528,79.921043,4
1522.2517,9.7818899,80.806267,4
1071.9202,12.549132,81.305595,4
1430.4084,50.336514,80.75544,4
2018.4325,3.0743923,86.054741,4
1106.9777,6.4188356,85.832443,4
1064.6827,10.598646,86.029694,4
1076.218,33.913502,85.703018,4
1576.4637,53.386559,88.816948,4
3563.124,10.601826,90.126587,4
1154.6436,4.1450996,90.964798,4
1356.425,5.4865513,90.953522,4
1073.4023,50.141308,91.747437,4
2034.7638,45.532536,95.174942,4
1787.1478,3.923893,96.847778,4
1209.3998,38.370403,97.376007,4
1202.5009,8.1494818,100.2687,4
2596.6501,5.759192,100.39977,4
1106.8967,16.833891,101.6199,4
1286.1919,19.545004,103.77243,4
2933.9175,7.4158688,104.40313,4
2010.5588,13.185306,105.40673,4
1913.2716,9.7864523,106.96221,4
1866.0004,34.312057,4.8086491,5
2955.0161,19.494539,7.3143492,5
1485.7878,20.741978,7.1330853,5
2331.1101,30.92078,6.836966,5
1700.5662,39.801846,7.0048265,5
1840.2964,17.091057,9.8704014,5
2231.1785,25.160233,10.787825,5
2233.5669,17.915899,11.906767,5
1812.5773,11.836267,14.716929,5
2210.7861,17.000456,15.201818,5
2142.094,26.937778,14.309139,5
2008.0858,14.238848,17.115593,5
1920.0769,20.913792,17.315929,5
1638.5607,44.524628,19.466818,5
3034.0105,7.614069,24.087471,5
1415.7799,10.730881,24.235851,5
2543.6694,12.295465,24.289448,5
1508.3164,42.697422,23.808935,5
2803.3174,15.90394,25.107761,5
1393.1986,19.462305,26.020708,5
2181.9888,5.7214952,28.577646,5
3235.2188,41.953671,28.197643,5
1689.1895,49.278622,28.231733,5
2230.2834,15.082325,31.039833,5
1951.5802,7.5227346,37.990433,5
1582.103,13.97763,37.588074,5
2047.6764,5.6142459,41.235725,5
2205.5764,30.794607,43.192425,5
1760.3628,55.635166,43.637783,5
1905.3938,7.2541981,45.25481,5
1659.7968,19.662159,47.7435,5
1975.9553,12.382134,49.200294,5
2358.0032,13.462366,49.136189,5
2561.678,7.4394598,51.46109,5
1659.3083,35.392609,50.533566,5
1951.9193,63.931206,51.292797,5
3878.1741,4.8303938,52.826031,5
1826.3291,14.343491,54.846359,5
2094.7507,54.522457,54.83617,5
1470.3876,12.270175,57.288734,5
1783.1671,18.393375,57.419987,5
2850.0405,46.694305,62.567619,5
2362.8726,13.694056,63.455482,5
1707.7598,18.798071,63.495865,5
1960.4424,26.084202,63.233353,5
3048.3301,7.72122,63.839554,5
2375.082,10.54687,63.588654,5
3258.5669,20.398273,63.584335,5
3267.5264,24.269091,63.663002,5
2586.2146,34.345444,64.025627,5
2404.9358,46.428738,63.783821,5
1618.1051,11.727857,68.599136,5
1584.1802,17.932287,69.883316,5
4283.2842,49.684322,74.779884,5
2807.209,5.5256629,76.077065,5
2873.209,11.662122,76.715843,5
2271.532,36.540878,79.124352,5
2145.2009,7.2109661,79.87841,5
1503.5143,50.065727,80.94046,5
2052.2532,9.8168592,81.368355,5
1939.3513,2.9623494,86.117302,5
1928.6704,53.397915,88.164879,5
3826.8694,10.862011,90.19281,5
2642.7949,45.286255,95.365356,5
1472.3524,38.476143,97.408386,5
2083.4187,8.5537663,100.15825,5
1431.9723,12.348973,98.962692,5
1642.715,17.027763,100.91352,5
3065.2383,7.1057405,102.26274,5
2001.1569,18.523563,103.57629,5
2430.2839,12.793652,104.94479,5
2254.9946,6.2890692,106.78059,5
2323.1138,8.8992367,106.3547,5
1570.5194,12.960649,108.61806,5
1951.0681,6.9255567,110.39671,5
2761.4529,9.9636335,111.56101,5
2006.0839,29.96368,111.8171,5
1628.5172,20.988565,4.3638582,6
1532.6975,34.080536,4.9967837,6
1833.1949,30.845617,6.2498002,6
3186.0803,18.645412,8.5639935,6
1537.5261,28.169315,8.7689896,6
2363.6765,15.060707,11.074049,6
2029.8976,25.694628,10.862175,6
3307.9189,18.842932,12.491268,6
2262.3218,16.902504,14.878235,6
1720.1846,26.771004,14.38087,6
4024.2314,10.773213,16.499599,6
2877.9988,14.831897,16.806955,6
1979.4189,44.422089,20.185236,6
2766.7114,8.9788771,21.915104,6
1633.5911,44.05323,21.580847,6
3129.7839,7.5020056,24.263649,6
2194.6318,12.102634,24.471085,6
1599.3781,43.019375,23.6943,6
3452.071,15.604141,24.831907,6
2166.8208,6.0515895,28.223112,6
2225.0364,16.764757,29.269293,6
2981.1294,42.5392,28.380192,6
1494.7412,49.103683,28.409292,6
2762.1094,15.15543,31.146175,6
1509.5359,45.41188,32.671406,6
1530.4828,14.288795,37.530617,6
1464.8002,53.906429,40.534508,6
1935.4364,30.663511,42.938053,6
3026.9021,6.6470227,44.289108,6
1716.0251,55.786812,43.381084,6
2295.8486,12.10515,48.790783,6
2262.0481,13.615488,49.087673,6
1771.493,13.788649,51.112488,6
1619.6025,35.330566,50.530884,6
1484.4003,64.009789,50.840141,6
3638.4299,5.1792445,52.798954,6
1443.7463,13.934899,53.59631,6
2184.1121,54.741966,54.884087,6
1509.5895,18.908207,58.053703,6
3532.7727,1.5582781,59.104763,6
4646.5635,21.568939,63.807671,6
1743.8123,26.57497,63.377457,6
3868.5874,47.154198,62.714764,6
2825.5693,9.3711376,64.126549,6
1541.2216,12.066077,62.872028,6
2983.9028,23.487539,63.58065,6
2768.1611,34.297543,64.086884,6
2155.7864,46.532429,63.956772,6
1618.2831,11.516666,68.654716,6
1564.3342,17.864834,69.907318,6
3052.2817,49.816513,74.860977,6
1947.7296,5.4967709,76.001884,6
2843.333,11.316774,76.746063,6
2159.03,36.522011,79.26873,6
1650.5017,50.049126,81.379524,6
1746.9277,9.6743898,81.654755,6
1638.2053,33.620579,85.852699,6
2042.0007,54.280373,87.808517,6
3529.2314,10.903443,90.116974,6
1764.1714,3.7605352,91.816994,6
2084.8164,45.274296,95.304146,6
1509.1063,31.489922,96.463295,6
1448.6968,38.937458,98.134476,6
2884.8765,4.7741766,99.579491,6
1898.5228,12.652349,99.241493,6
2155.0879,8.8816376,100.2056,6
2708.1868,7.59373,102.09246,6
1698.1385,19.157778,103.63699,6
2103.2559,13.071114,105.15028,6
4039.4631,8.2212439,106.32891,6
2951.9202,9.9198837,111.48763,6
1559.7489,16.971743,111.84543,6
1920.4896,30.185421,111.81439,6
1422.7207,10.755152,113.20901,6
1505.0537,38.606094,3.1895041,7
1483.5641,30.302231,6.2024903,7
2504.4141,18.157684,8.2316399,7
1882.0289,21.52483,7.7898798,7
3324.02,14.255724,12.053116,7
3037.6624,18.732224,12.533468,7
1542.3147,53.373955,14.380418,7
1652.6395,21.056717,15.194639,7
4867.9419,10.905023,16.324879,7
2966.9644,15.032295,17.053589,7
1923.4259,16.325041,19.814896,7
2298.2708,44.670074,20.141918,7
3082.1929,8.6777887,21.487213,7
1747.3356,44.41283,21.450363,7
1538.5355,6.6620307,23.659805,7
3823.7151,15.441689,24.743656,7
2639.6997,5.7431784,28.000996,7
2413.0247,16.668039,29.388788,7
2678.908,42.287746,28.827394,7
1669.3363,55.689137,28.835337,7
3452.5005,15.262173,31.122169,7
1352.8297,36.026821,34.218212,7
1354.8934,56.921719,35.712555,7
1328.6709,11.841122,36.7775,7
1514.6506,53.763271,40.917858,7
1561.1139,4.9512248,41.422905,7
1322.4116,30.84956,41.502117,7
1785.0983,55.883678,43.021149,7
3412.2856,6.7294235,44.45488,7
1759.3715,3.4053783,48.517006,7
2238.5093,12.533163,48.972954,7
3048.0137,7.4955664,50.98703,7
2065.8477,14.302217,50.777836,7
1338.2559,35.488258,50.494953,7
1369.1863,11.879471,51.82991,7
2724.0208,5.4516211,52.066216,7
1686.017,54.465179,54.554665,7
1371.3491,41.787186,60.471989,7
2144.4529,7.9314318,63.615768,7
5750.5962,21.661694,63.837311,7
4783.394,47.193321,62.651524,7
3023.5667,9.4478741,63.943779,7
2449.9741,11.293875,63.759018,7
1857.9548,12.926022,63.900017,7
3601.196,19.976088,63.855453,7
2839.2073,22.709925,63.748459,7
2658.5515,34.305576,64.176498,7
6018.2241,1.9126396,65.224869,7
1970.0077,45.989368,63.987244,7
1346.6421,11.834356,67.824722,7
1394.0229,47.905941,69.962463,7
2230.2607,50.106911,75.13929,7
2474.2339,11.097873,76.803047,7
2309.4973,10.128866,78.309158,7
1522.2478,41.254597,79.224144,7
2094.8132,36.188728,79.85038,7
1565.469,50.013691,81.720238,7
1882.2838,33.677647,85.64006,7
2143.0918,54.445,87.996552,7
3096.6904,10.610546,89.813423,7
2411.4875,2.8542664,91.835411,7
1401.2175,42.548409,93.601006,7
1658.9828,45.267254,95.047989,7
1545.0234,31.843353,96.4589,7
1586.9128,12.906948,99.043533,7
1661.3308,39.350632,98.483711,7
1936.1099,9.2038155,99.670494,7
3667.2842,5.3957849,101.05495,7
1513.1804,19.437916,103.87135,7
1841.7826,13.272972,105.256,7
5401.2661,7.929492,106.3862,7
3245.6138,9.8925257,111.3697,7
2025.793,17.295506,111.89749,7
1801.975,38.595615,3.3289967,8
1370.3896,30.270132,6.2516627,8
1413.0134,17.737303,8.9831495,8
1358.3767,21.569122,7.2733469,8
1879.7704,29.074484,8.5924444,8
3699.7974,14.280776,12.261811,8
2898.6016,18.323067,12.588558,8
1511.7842,53.380203,14.298991,8
1601.5266,21.931427,15.17382,8
2907.1975,11.012253,16.540096,8
2514.6101,16.608177,19.771379,8
2252.9565,44.922729,20.10445,8
3469.5034,9.0098934,21.203976,8
1566.0435,44.526398,21.36355,8
2016.1775,7.1507158,25.709917,8
4038.7109,15.134687,24.802151,8
1730.5264,6.317904,28.272598,8
1640.0258,50.013,28.15534,8
2740.4824,42.430958,29.052656,8
1776.9901,55.743736,28.87495,8
3689.2156,15.443573,31.123104,8
1538.4204,12.411657,34.222515,8
1327.3612,24.015068,33.734341,8
1404.4092,36.050484,34.21582,8
1382.9666,56.814644,35.689461,8
1368.368,14.541893,37.945148,8
1520.6887,5.1922021,41.453911,8
1564.4995,30.598228,41.194504,8
1542.2408,54.019367,41.251953,8
2475.3149,55.674656,43.083786,8
2960.0259,6.8390903,44.573448,8
1341.1647,63.436081,48.603203,8
1731.4666,3.1211362,48.264168,8
2243.2693,12.493222,48.916664,8
1743.3173,14.559669,51.599281,8
2409.873,4.3106437,53.657375,8
1305.4032,41.857582,60.398468,8
1341.8779,16.151045,61.226364,8
5220.0117,47.259228,62.480324,8
1976.4337,12.953134,63.309479,8
2705.9241,11.155387,63.748825,8
3591.0706,20.053364,63.830833,8
6126.4951,21.768339,63.612411,8
4135.7974,22.643513,63.887131,8
2463.9802,34.341297,64.238373,8
4850.7612,1.5303798,64.718918,8
2116.4741,46.003216,63.787186,8
1430.9122,17.462772,67.839706,8
1421.496,48.590004,70.342789,8
1780.4531,50.107342,75.032417,8
2427.2498,11.136383,76.844154,8
2901.1228,9.949894,78.365273,8
1499.3585,41.31863,79.245926,8
1750.9619,35.710888,80.261765,8
1498.6532,8.9647427,80.409843,8
1440.9521,9.7894602,81.524643,8
1400.8042,5.3628478,85.115067,8
2087.2993,33.803852,85.216881,8
1549.1594,54.345531,88.259834,8
3322.6855,10.901761,89.980186,8
1719.6086,2.7140796,91.868721,8
1411.7966,42.586449,93.00238,8
1633.8529,17.668575,96.035019,8
1672.6359,31.837479,96.567253,8
2315.8611,13.043791,99.035683,8
1662.6395,39.239391,98.680611,8
3894.6206,5.3106813,101.23972,8
2066.3257,8.0700378,101.95095,8
1829.3109,20.098845,104.05534,8
1917.7244,12.886269,105.40685,8
5713.646,8.1113815,106.35242,8
1371.3927,16.519688,109.1189,8
3993.0774,9.8449678,111.35033,8
2403.4468,17.249649,111.8538,8
1644.6476,38.720726,3.6818185,9
1451.7391,20.44763,6.1283765,9
1736.1646,31.060871,6.8983893,9
1667.8341,18.527838,9.1469278,9
1772.5833,29.079723,8.8693924,9
2112.1301,14.799996,12.515302,9
2831.676,18.851837,12.191548,9
1253.6268,53.397457,14.366383,9
1534.6104,16.675388,15.889164,9
3357.4565,10.504601,16.864294,9
2575.3176,16.490059,19.921522,9
1820.2875,45.046829,20.149323,9
3838.311,8.9084406,21.385515,9
1529.9282,44.46236,21.537018,9
3554.9075,7.1473522,24.536438,9
1271.3079,12.516393,24.770451,9
4109.5874,15.114567,24.915922,9
1600.475,19.42498,26.101171,9
1400.3661,50.241688,27.943794,9
1632.8992,6.1066155,29.277496,9
2657.5149,42.354713,29.28569,9
1445.4258,55.512188,28.923149,9
3100.0225,15.732302,31.20438,9
1676.903,12.451754,33.926613,9
1260.4366,24.140038,33.865505,9
1384.5131,36.051563,34.178108,9
1644.7115,14.800232,37.825993,9
1266.3063,47.647701,40.597084,9
1381.5096,53.368217,40.351265,9
1648.2777,5.0783448,41.339733,9
1823.4063,30.416683,41.160614,9
2681.4512,55.507698,43.133606,9
2110.4495,6.2985978,44.579823,9
1401.9733,63.434013,48.63998,9
2388.9539,12.200355,49.021805,9
1693.8307,13.098021,49.894154,9
2114.2302,11.180171,49.914074,9
1527.1508,45.601368,50.297207,9
1321.193,14.535286,51.512577,9
2853.2307,4.926826,53.411488,9
1881.7887,6.1459074,53.00145,9
1309.8866,20.042454,55.299873,9
1253.9932,41.913914,60.067577,9
5225.7417,47.296085,62.311039,9
1904.0088,13.711475,63.851868,9
3570.1187,19.721157,63.797073,9
4139.0645,2.5797248,64.105965,9
1787.588,7.8669491,64.114037,9
2294.5645,10.973078,63.517685,9
1830.9493,16.645515,63.992203,9
5014.1025,21.064154,63.626503,9
5349.3418,23.262011,63.882393,9
2319.8726,34.375126,64.282471,9
2362.4709,45.678837,64.162964,9
1266.0679,18.008373,68.014519,9
1283.7584,14.617446,68.878685,9
1487.1556,48.475861,70.856888,9
1318.8333,4.759871,75.282623,9
1273.9254,51.626507,74.353806,9
2585.2444,11.35972,76.812447,9
2651.8,10.242717,78.603622,9
1310.4908,41.367306,79.22245,9
1755.9236,35.05587,81.241158,9
1830.1508,9.7495279,81.657768,9
2360.6235,33.956364,85.108154,9
3253.7654,10.908959,90.596832,9
1789.8522,52.944763,89.892136,9
1636.0228,43.104305,91.993652,9
1494.6364,17.602118,96.488533,9
1623.9675,31.823246,96.490776,9
2312.3071,13.008626,98.670876,9
1489.892,39.283226,98.692947,9
3990.5259,5.2446971,101.2606,9
2865.0745,7.3880339,100.8877,9
2729.9221,20.515276,103.98761,9
2219.8809,12.416556,105.40071,9
2592.2251,11.37272,106.44366,9
4626.9673,7.8619089,107.02337,9
1325.3429,16.485159,109.14191,9
3641.4351,9.7371006,111.19709,9
2414.1992,17.187138,111.84019,9
1828.8734,12.032506,113.71102,9
1333.5033,39.428413,3.7008505,10
2380.7913,31.462025,7.0823755,10
1867.3494,19.111223,7.8173895,10
1490.9753,21.638735,8.0126791,10
1677.2523,29.542725,8.8075285,10
3044.2168,18.912033,12.135949,10
1666.963,17.579113,14.910592,10
4000.989,10.692918,16.497099,10
2068.2117,16.443266,20.212004,10
1348.6829,44.7337,20.004322,10
3758.7803,9.0631618,21.744511,10
1615.1849,44.410904,21.63541,10
5528.2993,7.461606,24.532352,10
1831.2173,12.549546,23.718596,10
4076.7542,15.225908,25.019415,10
1813.4152,19.507271,26.350151,10
1211.3987,48.405396,26.58219,10
2329.6863,6.2577972,28.528881,10
1191.0526,50.397564,28.017662,10
2754.4316,43.000874,28.770918,10
1186.9905,56.122307,29.121826,10
2673.2925,15.71026,31.224472,10
1505.2107,12.728832,33.716263,10
1202.2295,36.050098,34.132801,10
1614.5918,14.849039,37.687458,10
1249.5762,47.591106,40.512291,10
1214.4379,53.214912,40.278084,10
1757.8627,5.100976,41.169628,10
1885.6606,30.484587,41.23848,10
2198.4805,55.582321,42.687183,10
2009.2682,6.6603479,44.923931,10
1443.8744,63.451546,48.466175,10
2324.1892,13.508446,49.495255,10
1338.4044,5.2391973,48.926022,10
2782.3306,11.556398,49.553879,10
1741.2971,45.759003,50.367786,10
2989.0452,5.3177872,53.381306,10
1355.4188,19.958872,55.418877,10
1351.0844,54.544807,54.831425,10
2660.3496,1.8512945,60.31625,10
1322.1818,41.77232,59.898422,10
5015.8828,47.376759,62.204464,10
2389.3804,14.545581,63.99688,10
3312.7441,19.655924,63.530571,10
5038.8403,2.2626517,64.434235,10
2633.4734,8.3857441,64.202469,10
2688.5334,16.397516,62.942699,10
3746.0696,20.986197,63.246025,10
5077.1211,23.496389,63.801483,10
2167.582,34.404442,64.214828,10
2519.1289,46.382072,63.266655,10
1217.5137,48.492004,70.974709,10
1664.1935,5.075717,75.427872,10
1364.3239,50.90654,74.142349,10
2553.4929,11.515596,76.774529,10
1236.8845,34.604897,81.47818,10
1324.8176,5.0138698,84.940216,10
2706.2122,34.041061,85.015549,10
1354.8988,6.5095129,86.175529,10
2431.8718,52.97752,89.894424,10
2015.0077,11.594955,90.460899,10
1907.4485,2.7172871,91.802422,10
1540.6241,43.276234,92.02298,10
1185.9861,2.1736994,95.935516,10
1562.4509,31.753376,96.46508,10
1746.3563,39.151115,98.214935,10
1619.4148,12.095269,99.286369,10
3426.9771,5.287416,101.09851,10
3124.4211,20.267887,103.7881,10
2041.2823,12.69692,105.49639,10
2886.1914,11.163507,106.05459,10
3934.6682,7.8748322,106.8356,10
1339.1887,23.197027,108.99596,10
2410.1106,9.7349854,111.03958,10
1886.9127,17.396227,111.76795,10
1526.9775,39.351578,4.3393064,11
1248.7014,19.877127,5.9999299,11
1239.0741,33.426228,5.5086899,11
2754.7546,31.553555,7.0125322,11
2181.3469,18.43055,7.9228516,11
1149.5721,23.161402,8.3143883,11
1416.1517,30.090839,8.5187788,11
1388.7343,15.840008,10.377312,11
1772.424,24.361774,10.096873,11
2543.2695,19.030037,12.193007,11
2192.592,19.017048,12.385122,11
1568.9618,17.485558,14.838441,11
4011.915,10.83354,16.672045,11
1500.5319,44.513699,19.600002,11
1507.4878,16.262445,20.528997,11
3367.4265,8.8255005,22.20783,11
1773.5765,44.344307,21.633228,11
5685.7256,7.4489565,24.319269,11
1982.3063,12.900461,23.712173,11
3899.6929,15.450129,24.938181,11
1721.5162,19.420689,26.4517,11
1251.1299,48.344086,26.719204,11
1989.2367,6.2563229,28.262899,11
2857.1892,42.987663,28.687092,11
